"","sales","year","month","Date","day","factor","normsales","month.name"
"1",4254,"1992",1,"1992-1-01",1992-01-01,0.904,3845.616,"Jan"
"2",4342,"1992",2,"1992-2-01",1992-02-01,0.9,3907.8,"Feb"
"3",4330,"1992",3,"1992-3-01",1992-03-01,0.96,4156.8,"Mar"
"4",4359,"1992",4,"1992-4-01",1992-04-01,0.95,4141.05,"April"
"5",4331,"1992",5,"1992-5-01",1992-05-01,0.987,4274.697,"May"
"6",4401,"1992",6,"1992-6-01",1992-06-01,0.99,4356.99,"June"
"7",4368,"1992",7,"1992-7-01",1992-07-01,1.009,4407.312,"July"
"8",4372,"1992",8,"1992-8-01",1992-08-01,1.017,4446.324,"Aug"
"9",4345,"1992",9,"1992-9-01",1992-09-01,0.996,4327.62,"Sep"
"10",4299,"1992",10,"1992-10-01",1992-10-01,1.046,4496.754,"Oct"
"11",4368,"1992",11,"1992-11-01",1992-11-01,1.073,4686.864,"Nov"
"12",4428,"1992",12,"1992-12-01",1992-12-01,1.194,5287.032,"Dec"
"13",4637,"1993",1,"1993-1-01",1993-01-01,0.885,4103.745,"Jan"
"14",4507,"1993",2,"1993-2-01",1993-02-01,0.867,3907.569,"Feb"
"15",4463,"1993",3,"1993-3-01",1993-03-01,0.979,4369.277,"Mar"
"16",4564,"1993",4,"1993-4-01",1993-04-01,0.958,4372.312,"April"
"17",4642,"1993",5,"1993-5-01",1993-05-01,0.977,4535.234,"May"
"18",4609,"1993",6,"1993-6-01",1993-06-01,0.991,4567.519,"June"
"19",4640,"1993",7,"1993-7-01",1993-07-01,1.009,4681.76,"July"
"20",4645,"1993",8,"1993-8-01",1993-08-01,1.019,4733.255,"Aug"
"21",4640,"1993",9,"1993-9-01",1993-09-01,0.996,4621.44,"Sep"
"22",4663,"1993",10,"1993-10-01",1993-10-01,1.024,4774.912,"Oct"
"23",4693,"1993",11,"1993-11-01",1993-11-01,1.099,5157.607,"Nov"
