"","sales","year","month","Date","day","factor","normsales","month.name"
"1",12803,"1992",1,"1992-1-01",1992-01-01,0.945,12098.835,"Jan"
"2",12601,"1992",2,"1992-2-01",1992-02-01,0.919,11580.319,"Feb"
"3",12639,"1992",3,"1992-3-01",1992-03-01,0.971,12272.469,"Mar"
"4",12710,"1992",4,"1992-4-01",1992-04-01,0.979,12443.09,"April"
"5",12870,"1992",5,"1992-5-01",1992-05-01,1.045,13449.15,"May"
"6",12886,"1992",6,"1992-6-01",1992-06-01,1.042,13427.212,"June"
"7",12966,"1992",7,"1992-7-01",1992-07-01,1.07,13873.62,"July"
"8",13092,"1992",8,"1992-8-01",1992-08-01,1.056,13825.152,"Aug"
"9",13246,"1992",9,"1992-9-01",1992-09-01,0.992,13140.032,"Sep"
"10",13304,"1992",10,"1992-10-01",1992-10-01,1.027,13663.208,"Oct"
"11",13358,"1992",11,"1992-11-01",1992-11-01,0.978,13064.124,"Nov"
"12",13475,"1992",12,"1992-12-01",1992-12-01,1.001,13488.475,"Dec"
"13",13398,"1993",1,"1993-1-01",1993-01-01,0.935,12527.13,"Jan"
"14",13596,"1993",2,"1993-2-01",1993-02-01,0.887,12059.652,"Feb"
"15",13487,"1993",3,"1993-3-01",1993-03-01,0.976,13163.312,"Mar"
"16",13539,"1993",4,"1993-4-01",1993-04-01,0.988,13376.532,"April"
"17",13521,"1993",5,"1993-5-01",1993-05-01,1.042,14088.882,"May"
"18",13461,"1993",6,"1993-6-01",1993-06-01,1.04,13999.44,"June"
"19",13502,"1993",7,"1993-7-01",1993-07-01,1.07,14447.14,"July"
"20",13372,"1993",8,"1993-8-01",1993-08-01,1.056,14120.832,"Aug"
"21",13416,"1993",9,"1993-9-01",1993-09-01,0.997,13375.752,"Sep"
"22",13755,"1993",10,"1993-10-01",1993-10-01,1.015,13961.325,"Oct"
"23",13754,"1993",11,"1993-11-01",1993-11-01,0.983,13520.182,"Nov"
"24",13627,"1993",12,"1993-12-01",1993-12-01,1.008,13736.016,"Dec"
"25",13656,"1994",1,"1994-1-01",1994-01-01,0.931,12713.736,"Jan"
"26",13875,"1994",2,"1994-2-01",1994-02-01,0.886,12293.25,"Feb"
"27",13911,"1994",3,"1994-3-01",1994-03-01,0.981,13646.691,"Mar"
"28",13867,"1994",4,"1994-4-01",1994-04-01,0.984,13645.128,"April"
"29",13773,"1994",5,"1994-5-01",1994-05-01,1.042,14351.466,"May"
"30",14059,"1994",6,"1994-6-01",1994-06-01,1.047,14719.773,"June"
"31",14322,"1994",7,"1994-7-01",1994-07-01,1.057,15138.354,"July"
"32",14685,"1994",8,"1994-8-01",1994-08-01,1.062,15595.47,"Aug"
"33",14649,"1994",9,"1994-9-01",1994-09-01,1.005,14722.245,"Sep"
"34",14709,"1994",10,"1994-10-01",1994-10-01,1.01,14856.09,"Oct"
"35",14878,"1994",11,"1994-11-01",1994-11-01,0.977,14535.806,"Nov"
"36",14885,"1994",12,"1994-12-01",1994-12-01,1.008,15004.08,"Dec"
"37",14915,"1995",1,"1995-1-01",1995-01-01,0.93,13870.95,"Jan"
"38",14963,"1995",2,"1995-2-01",1995-02-01,0.883,13212.329,"Feb"
"39",14921,"1995",3,"1995-3-01",1995-03-01,0.989,14756.869,"Mar"
"40",15021,"1995",4,"1995-4-01",1995-04-01,0.974,14630.454,"April"
"41",15215,"1995",5,"1995-5-01",1995-05-01,1.048,15945.32,"May"
"42",15333,"1995",6,"1995-6-01",1995-06-01,1.057,16206.981,"June"
"43",15249,"1995",7,"1995-7-01",1995-07-01,1.053,16057.197,"July"
"44",15227,"1995",8,"1995-8-01",1995-08-01,1.065,16216.755,"Aug"
"45",15194,"1995",9,"1995-9-01",1995-09-01,1,15194,"Sep"
"46",15007,"1995",10,"1995-10-01",1995-10-01,1.01,15157.07,"Oct"
"47",14981,"1995",11,"1995-11-01",1995-11-01,0.98,14681.38,"Nov"
"48",15246,"1995",12,"1995-12-01",1995-12-01,0.996,15185.016,"Dec"
"49",15479,"1996",1,"1996-1-01",1996-01-01,0.935,14472.865,"Jan"
"50",15457,"1996",2,"1996-2-01",1996-02-01,0.916,14158.612,"Feb"
"51",15951,"1996",3,"1996-3-01",1996-03-01,0.979,15616.029,"Mar"
"52",16252,"1996",4,"1996-4-01",1996-04-01,0.986,16024.472,"April"
"53",16488,"1996",5,"1996-5-01",1996-05-01,1.057,17427.816,"May"
"54",16352,"1996",6,"1996-6-01",1996-06-01,1.037,16957.024,"June"
"55",16075,"1996",7,"1996-7-01",1996-07-01,1.06,17039.5,"July"
"56",16066,"1996",8,"1996-8-01",1996-08-01,1.075,17270.95,"Aug"
"57",16088,"1996",9,"1996-9-01",1996-09-01,0.993,15975.384,"Sep"
"58",16360,"1996",10,"1996-10-01",1996-10-01,1.019,16670.84,"Oct"
"59",16602,"1996",11,"1996-11-01",1996-11-01,0.978,16236.756,"Nov"
"60",16759,"1996",12,"1996-12-01",1996-12-01,0.989,16574.651,"Dec"
"61",16938,"1997",1,"1997-1-01",1997-01-01,0.942,15955.596,"Jan"
"62",16984,"1997",2,"1997-2-01",1997-02-01,0.878,14911.952,"Feb"
"63",16969,"1997",3,"1997-3-01",1997-03-01,0.976,16561.744,"Mar"
"64",16613,"1997",4,"1997-4-01",1997-04-01,0.985,16363.805,"April"
"65",16367,"1997",5,"1997-5-01",1997-05-01,1.058,17316.286,"May"
"66",16378,"1997",6,"1997-6-01",1997-06-01,1.041,17049.498,"June"
"67",16396,"1997",7,"1997-7-01",1997-07-01,1.066,17478.136,"July"
"68",16682,"1997",8,"1997-8-01",1997-08-01,1.063,17732.966,"Aug"
"69",16757,"1997",9,"1997-9-01",1997-09-01,1.002,16790.514,"Sep"
