"","X","Date","Open","High","Low","Close","Volume","day"
"1",1,"01/05/1970",93.46,93.46,85.02,85.02,0,1970-01-05
"2",2,"02/02/1970",85.75,89.5,85.75,89.5,0,1970-02-02
"3",3,"03/02/1970",89.71,90.23,86.91,89.63,0,1970-03-02
"4",4,"04/01/1970",90.07,90.07,80.27,81.52,0,1970-04-01
"5",5,"05/01/1970",81.44,81.44,69.29,76.55,0,1970-05-01
"6",6,"06/01/1970",77.84,78.52,72.72,72.72,0,1970-06-01
"7",7,"07/01/1970",73.04,78.07,71.23,78.05,0,1970-07-01
"8",8,"08/03/1970",77.02,81.86,74.76,81.52,0,1970-08-03
"9",9,"09/01/1970",80.95,84.3,80.95,84.21,0,1970-09-01
"10",10,"10/01/1970",84.32,86.89,83.12,83.25,0,1970-10-01
"11",11,"11/02/1970",83.51,87.2,82.79,87.2,0,1970-11-02
"12",12,"12/01/1970",87.47,92.27,87.47,92.15,0,1970-12-01
"13",13,"01/04/1971",91.15,95.88,91.15,95.88,0,1971-01-04
"14",14,"02/01/1971",96.42,98.66,95.72,96.75,0,1971-02-01
"15",15,"03/01/1971",97,101.21,96.95,100.31,0,1971-03-01
"16",16,"04/01/1971",100.39,104.77,100.39,103.95,0,1971-04-01
"17",17,"05/03/1971",103.29,103.79,99.4,99.63,0,1971-05-03
"18",18,"06/01/1971",100.2,101.3,97.59,99.7,0,1971-06-01
"19",19,"07/01/1971",99.78,100.82,95.58,95.58,0,1971-07-01
"20",20,"08/02/1971",95.96,100.41,93.53,99.03,0,1971-08-02
"21",21,"09/01/1971",99.07,101.34,97.62,98.34,0,1971-09-01
"22",22,"10/01/1971",98.93,100.02,93.79,94.23,0,1971-10-01
"23",23,"11/01/1971",92.8,94.91,90.16,93.99,0,1971-11-01
"24",24,"12/01/1971",95.54,102.21,95.54,102.09,0,1971-12-01
"25",25,"01/03/1972",101.67,104.16,101.67,103.94,0,1972-01-03
"26",26,"02/01/1972",104.01,106.57,104.01,106.57,0,1972-02-01
"27",27,"03/01/1972",107.35,108.96,106.49,107.2,0,1972-03-01
"28",28,"04/03/1972",107.48,110.18,106.89,107.67,0,1972-04-03
"29",29,"05/01/1972",106.69,110.66,104.74,109.53,0,1972-05-01
"30",30,"06/01/1972",109.69,109.73,106.82,107.14,0,1972-06-01
"31",31,"07/03/1972",107.49,109.04,105.81,107.39,0,1972-07-03
"32",32,"08/01/1972",108.4,112.55,108.4,111.09,0,1972-08-01
"33",33,"09/01/1972",111.51,111.51,108.05,110.55,0,1972-09-01
"34",34,"10/02/1972",110.16,111.58,106.77,111.58,0,1972-10-02
"35",35,"11/01/1972",112.67,117.27,112.67,116.67,0,1972-11-01
"36",36,"12/01/1972",117.38,119.12,115.11,118.05,0,1972-12-01
"37",37,"01/02/1973",119.1,120.24,115.83,116.03,0,1973-01-02
"38",38,"02/01/1973",114.76,116.78,110.9,111.68,0,1973-02-01
"39",39,"03/01/1973",111.05,114.98,108.84,111.52,0,1973-03-01
"40",40,"04/02/1973",110.18,112.68,106.97,106.97,0,1973-04-02
"41",41,"05/01/1973",107.1,111.25,102.73,104.95,0,1973-05-01
"42",42,"06/01/1973",103.93,108.29,102.25,104.26,0,1973-06-01
"43",43,"07/02/1973",102.9,109.85,101.28,108.22,0,1973-07-02
"44",44,"08/01/1973",106.83,106.83,100.53,104.25,0,1973-08-01
"45",45,"09/04/1973",104.51,109.08,103.06,108.43,0,1973-09-04
"46",46,"10/01/1973",108.21,111.44,108.21,108.29,0,1973-10-01
"47",47,"11/01/1973",107.69,107.69,95.7,95.96,0,1973-11-01
"48",48,"12/03/1973",93.9,97.95,92.16,97.55,0,1973-12-03
"49",49,"01/02/1974",97.68,99.8,92.39,96.57,0,1974-01-02
"50",50,"02/01/1974",95.32,96.4,90.66,96.22,0,1974-02-01
"51",51,"03/01/1974",95.53,99.74,93.98,93.98,0,1974-03-01
"52",52,"04/01/1974",93.25,94.78,89.57,90.31,0,1974-04-01
"53",53,"05/01/1974",92.22,92.96,86.89,87.28,0,1974-05-01
