"","balance","exports","imports","year","Date","day"
"1",4892,19650,14758,1960,"1960-12-01",1960-12-01
"2",5571,20108,14537,1961,"1961-12-01",1961-12-01
"3",4521,20781,16260,1962,"1962-12-01",1962-12-01
"4",5224,22272,17048,1963,"1963-12-01",1963-12-01
"5",6801,25501,18700,1964,"1964-12-01",1964-12-01
"6",4951,26461,21510,1965,"1965-12-01",1965-12-01
"7",3817,29310,25493,1966,"1966-12-01",1966-12-01
"8",3800,30666,26866,1967,"1967-12-01",1967-12-01
"9",635,33626,32991,1968,"1968-12-01",1968-12-01
"10",607,36414,35807,1969,"1969-12-01",1969-12-01
"11",2603,42469,39866,1970,"1970-12-01",1970-12-01
"12",-2260,43319,45579,1971,"1971-12-01",1971-12-01
"13",-6416,49381,55797,1972,"1972-12-01",1972-12-01
"14",911,71410,70499,1973,"1973-12-01",1973-12-01
"15",-5505,98306,103811,1974,"1974-12-01",1974-12-01
"16",8903,107088,98185,1975,"1975-12-01",1975-12-01
"17",-9483,114745,124228,1976,"1976-12-01",1976-12-01
"18",-31091,120816,151907,1977,"1977-12-01",1977-12-01
"19",-33927,142075,176002,1978,"1978-12-01",1978-12-01
"20",-27568,184439,212007,1979,"1979-12-01",1979-12-01
"21",-25500,224250,249750,1980,"1980-12-01",1980-12-01
"22",-28023,237044,265067,1981,"1981-12-01",1981-12-01
"23",-36485,211157,247642,1982,"1982-12-01",1982-12-01
"24",-67102,201799,268901,1983,"1983-12-01",1983-12-01
"25",-112492,219926,332418,1984,"1984-12-01",1984-12-01
"26",-122173,215915,338088,1985,"1985-12-01",1985-12-01
"27",-145081,223344,368425,1986,"1986-12-01",1986-12-01
"28",-159557,250208,409765,1987,"1987-12-01",1987-12-01
"29",-126959,320230,447189,1988,"1988-12-01",1988-12-01
"30",-117749,359916,477665,1989,"1989-12-01",1989-12-01
"31",-111037,387401,498438,1990,"1990-12-01",1990-12-01
"32",-76937,414083,491020,1991,"1991-12-01",1991-12-01
"33",-96897,439631,536528,1992,"1992-12-01",1992-12-01
"34",-132451,456943,589394,1993,"1993-12-01",1993-12-01
"35",-165831,502859,668690,1994,"1994-12-01",1994-12-01
"36",-174170,575204,749374,1995,"1995-12-01",1995-12-01
"37",-191000,612113,803113,1996,"1996-12-01",1996-12-01
"38",-198428,678366,876794,1997,"1997-12-01",1997-12-01
"39",-248221,670416,918637,1998,"1998-12-01",1998-12-01
"40",-337068,698524,1035592,1999,"1999-12-01",1999-12-01
"41",-446783,784940,1231722,2000,"2000-12-01",2000-12-01
"42",-422370,731331,1153701,2001,"2001-12-01",2001-12-01
"43",-475245,698036,1173281,2002,"2002-12-01",2002-12-01
"44",-541643,730446,1272089,2003,"2003-12-01",2003-12-01
"45",-664766,823584,1488349,2004,"2004-12-01",2004-12-01
"46",-782804,913016,1695820,2005,"2005-12-01",2005-12-01
"47",-837289,1040905,1878194,2006,"2006-12-01",2006-12-01
"48",-821196,1165151,1986347,2007,"2007-12-01",2007-12-01
"49",-832492,1308795,2141287,2008,"2008-12-01",2008-12-01
"50",-509694,1070331,1580025,2009,"2009-12-01",2009-12-01
"51",-648671,1290279,1938950,2010,"2010-12-01",2010-12-01
"52",-740999,1498887,2239886,2011,"2011-12-01",2011-12-01
"53",-741119,1562630,2303749,2012,"2012-12-01",2012-12-01
"54",-700539,1593708,2294247,2013,"2013-12-01",2013-12-01
"55",-749917,1635563,2385480,2014,"2014-12-01",2014-12-01
"56",-761868,1511381,2273249,2015,"2015-12-01",2015-12-01
"57",-749801,1457393,2207195,2016,"2016-12-01",2016-12-01
"58",-799343,1557003,2356345,2017,"2017-12-01",2017-12-01
"59",-880301,1676950,2557251,2018,"2018-12-01",2018-12-01
"60",-864331,1652437,2516767,2019,"2019-12-01",2019-12-01
